Category,Recommended action,Your decision,Monday card ID,Order number,Card name,Monday board,Exists on Monday,Status,Invoice / PO,Order date,Last seen,Why it is here,Your notes
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6342777032","240309","Veyer / 240309r","Shipped Orders AKF","No - deleted","In Progress (88%)","","2024-03-26","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6342777116","240310","Soyka Smith / 240310","Shipped Orders AKF","No - deleted","In Progress (13%)","","2024-03-27","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6342777201","240311","Empire Office / 240311 (7/29)","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-03-27","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6354102448","240313","BFI / 240313","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-03-29","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6366336543","240401","Soyka Smith / 240401","Shipped Orders AKF","No - deleted","In Progress (63%)","","2024-04-01","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6382751703","240403","Virginia State Bar / 240403","Shipped Orders AKF","No - deleted","In Progress (39%)","","2024-04-03","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6390370452","240404","Alianza Duffy / 240404","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-04-04","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6454974639","240405","BFI / 240405","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-04-15","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6466256303","240406","S-O-S / 240406 (Leerink office)","Shipped Orders AKF","No - deleted","In Progress (63%)","","2024-04-16","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6480065411","240407","S-O-S / 240407 (Linden)","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-04-17","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6480065435","240408","S-O-S / 240408 (Leerink Reception)","Shipped Orders AKF","No - deleted","In Progress (63%)","","2024-04-17","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6487739098","240409","EvensonBest / 240409 (6/12)","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-04-18","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6499540898","240410","S-O-S / 240410 (Leerink Banquette)","Shipped Orders AKF","No - deleted","In Progress (75%)","","2024-04-22","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6524894990","240411","Jay Chicoy LLC / 240411","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-04-24","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6525967075","240413","Bialek / 240413","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-04-25","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6530276512","240414","COR / 240414","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-04-25","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6565413263","240501","Red Thread / 240501","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-05-01","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6639289035","240502","Soyka Smith / 240502","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-05-14","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6672687440","240503","Benhar Office / 240503","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-05-20","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6679055668","240504","Engel & Volkers / 240504","Shipped Orders AKF","No - deleted","In Progress (38%)","","2024-05-21","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6688397201","240505","Alianza Duffy / 240505","Shipped Orders AKF","No - deleted","In Progress (51%)","","2024-05-21","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6688397242","240506","Interior Investment LLC  / 240506","Shipped Orders AKF","No - deleted","In Progress (100%)","","2024-05-22","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6695526354","240507","WB Wood / 240507","Shipped Orders AKF","No - deleted","In Progress (51%)","","2024-05-23","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6728406003","240508","Osterman Cron / 240508","Shipped Orders AKF","No - deleted","In Progress (63%)","","2024-05-23","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6727428261","240509","Bialek / 240509","Shipped Orders AKF","No - deleted","In Progress (100%)","","2024-05-28","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6729934714","240510","Combined Resources Interiors, Inc. / 240510","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-05-29","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8240684324","240510-A","Combine Resources Interiors Inc. 240510-A","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-12-17","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6745835789","240511_A","Office Concepts Inc / 240511_A","Shipped Orders AKF","No - deleted","In Progress (100%)","","2024-05-31","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6745835840","240511_B","Office got Concepts Inc / 240511_B","Shipped Orders AKF","No - deleted","In Progress (100%)","","2024-05-31","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6745835911","240511_C","Office Concepts Inc / 240511_C","Shipped Orders AKF","No - deleted","In Progress (100%)","","2024-05-31","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6745835946","240512","Benhar Office / 240512","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-05-31","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6791853775","240605","Premier Environments / 240605","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-06-06","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6811186028","240606","EvensonBest / 240606","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-06-10","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6811186049","240607","Lane Office / 240607","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-06-10","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6838359518","240609","County of Somerset NJ / 240609","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-06-13","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6883717427","240612","S-O-S / 240612","Shipped Orders AKF","No - deleted","In Progress (39%)","","2024-06-21","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7702675783","240612-A","S-O-S / 240612-A","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-10-24","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6903837895","240615","David G. Rosen Inc. / 240615","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-06-25","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6908954074","240617","COR / 240617","Shipped Orders AKF","No - deleted","In Progress (88%)","","2024-06-26","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6948938583","240701","Empire Office / 240701","Shipped Orders AKF","No - deleted","In Progress (63%)","","2024-07-01","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","6979945503","240702","Widmer Interiors / 240702","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-07-04","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7045373800","240703","BFI / 240703","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-07-17","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7060869899","240704","AFD / 240704","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-07-18","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7071436322","240706","NJIT /240911","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-07-22","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7117644027","240707","West Chester University / COFCO  / 240707","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-07-29","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7151116305","240802","Premier Environments / 240802","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-08-02","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7206315055","240803","Empire Office / 240803","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-08-06","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7218535125","240805","Chuckals Office Products / 240805","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-08-13","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7254005716","240807","AFD / 240803","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-08-19","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7313792669","240810","WB Wood / 240810","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-08-27","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7322622677","240811","Business Interiors / 240811","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-08-29","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7351816789","240901","JC White / 240901","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-09-03","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7471669124","240902","New day office / 240902","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-09-05","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7408700515","240903","Benhar Office Interiors / 240903","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-09-06","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7408700586","240904","Benhar Office Interiors / 240904","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-09-11","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7424904510","240905","Creative Office Resources / 240905","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-09-12","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7438400831","240907","EvensonBest / 240907","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-09-16","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7439679505","240908","Creative Office Resources / 240908","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-09-13","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7133567844","240909","COFCO / 240909","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-07-31","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7454547754","240910","Lane Office / 240910","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-09-17","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7513419556","240911","American Design Associates / 240911","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-09-18","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7509655197","240917","S-O-S / 240917","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-09-06","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7509789753","240918","S-O-S / 240918","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-06-21","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7517421363","240922","Strategic Spaces, LLC./ 240922","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-09-27","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","12192080407","241011","Hi Touch / 241011","Order Track AKF","No - deleted","In Progress (100%)","","2024-10-07","2026-06-09T21:00:07.253Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7591905012","241012","S-O-S / 241012 & 241012-A (New PO #'s)","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-10-08","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7648087713","241019","CFI/ 241019","Shipped Orders AKF","No - deleted","In Progress (75%)","","2024-10-16","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7649602948","241020","Benhar Office / 241020","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-10-16","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7675693055","241022","S-O-S / 241022","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-10-18","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7687036042","241023","Town of Windham CT / 241023","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-10-22","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7704602169","241024","American Design Associates / 241024","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-10-22","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7751566560","241025","CFI / 241025","Shipped Orders AKF","No - deleted","Shipped","","2024-10-30","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7761208860","241027","EvensonBest / 241027","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-10-31","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7777703783","241101-A","Empire Office / 241101-A","Shipped Orders AKF","No - deleted","In Progress (75%)","","2024-11-04","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7777703839","241101-B","Empire Office / 241101-B","Shipped Orders AKF","No - deleted","In Progress (75%)","","2024-11-04","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7786388595","241102","Workflow Interior / 241102","Shipped Orders AKF","No - deleted","In Progress (76%)","","2024-11-05","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7842185800","241104","Friends Office / 241104","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-11-08","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7846709331","241106","Waldner's / 241106","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-11-13","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7872054938","241109","OfficeWorks / 241109","Shipped Orders AKF","No - deleted","In Progress (63%)","","2024-11-15","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","7935300298","241110","Evenson Best / 241110","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-11-26","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8057096130","241202","S-O-S / 241202","Shipped Orders AKF","No - deleted","In Progress (75%)","","2024-12-14","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8057570444","241203","AFD / 241203","Shipped Orders AKF","No - deleted","Shipped","","2024-12-13","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8061754459","241205","Evenson Best / 241205","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-12-13","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8070332016","241206","WB Mason / 241206","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-12-17","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8084600798","241207","Lane office / 241207","Shipped Orders AKF","No - deleted","In Progress (51%)","","2024-12-18","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8084876043","241208","EvensonBest / 241208","Shipped Orders AKF","No - deleted","In Progress (63%)","","2024-12-19","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8132880675","241210","EvensonBest / 241210","Shipped Orders AKF","No - deleted","In Progress (75%)","","2024-12-19","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8120512308","241212","Image Business Interiors / 241212","Shipped Orders AKF","No - deleted","In Progress (87%)","","2024-12-23","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8120512370","241213","AFD / 241213","Shipped Orders AKF","No - deleted","Shipped","","2024-12-26","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8125470808","241214","S-O-S / 241214","Shipped Orders AKF","No - deleted","In Progress (75%)","","2024-12-27","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8417208218","241215","EvensonBest / 241215","Shipped Orders AKF","No - deleted","In Progress (87%)","","2025-01-02","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8190745993","250103","EvensonBest / 250103","Shipped Orders AKF","No - deleted","In Progress (87%)","","2025-01-03","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8180613544","250104","AFD / 250104","Shipped Orders AKF","No - deleted","In Progress (87%)","","2025-01-06","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8184093438","250106","Empire Office / 250106","Shipped Orders AKF","No - deleted","In Progress (87%)","","2025-01-07","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8184429975","250107","Empire Office / 250107","Shipped Orders AKF","No - deleted","In Progress (75%)","","2025-01-07","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8216164266","250110","AFD / 250110","Shipped Orders AKF","No - deleted","Shipped","","2025-01-10","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8318317454","250113","Temple B’nai Abraham / 250113","Shipped Orders AKF","No - deleted","In Progress (87%)","","2025-01-17","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8307858887","250114","S-O-S / 250114","Shipped Orders AKF","No - deleted","In Progress (87%)","","2025-01-22","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8318317520","250115","S-O-S / 250115","Shipped Orders AKF","No - deleted","In Progress (39%)","","2025-01-22","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8401849102","250201","Waldners / 250201","Shipped Orders AKF","No - deleted","In Progress (87%)","","2025-02-03","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8390248710","250202","Storage systems USA / 250202","Shipped Orders AKF","No - deleted","Shipped","","2025-02-03","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8586219473","250206","Laura Fox Interior Design, LLC / 250206","Shipped Orders AKF","No - deleted","In Progress (87%)","","2025-02-27","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8482825602","250207","Alfred Williams  & Company / 250207","Shipped Orders AKF","No - deleted","In Progress (87%)","","2025-02-13","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8483461962","250208","Storage systems USA / 250208","Shipped Orders AKF","No - deleted","In Progress (87%)","","2025-02-14","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8505447838","250209","Business Interiors / 250209","Shipped Orders AKF","No - deleted","Shipped","","2025-02-18","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8527785446","250210","Miller's Supplies At Work / 250210","Shipped Orders AKF","No - deleted","In Progress (87%)","","2025-02-20","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8554453407","250211","Benhar Office / 250211","Shipped Orders AKF","No - deleted","Shipped","","2025-02-24","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8561004779","250212","S-O-S / 250212","Shipped Orders AKF","No - deleted","In Progress (75%)","","2025-02-25","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
"Deleted card (safe deletion candidate)","Delete from old Monday list","","8585272179","250213","Creative Office Resources / 250213","Shipped Orders AKF","No - deleted","Shipped","","2025-02-27","2026-05-13T07:32:24.461Z","The Monday card no longer exists.",""
